"","uniqid","zip","year","month","day","GHCND id","Display Name","Lat","Long","FIPS (CNTY)","FIPS (ST)","ZIP","ZIP Display Name","AWND - Average daily wind speed (tenths of meters per second)","DAPR - Number of days included in the multiday precipitation total (MDPR)","FRGT - Top of frozen ground layer (cm)","FRTH - Thickness of frozen ground layer (cm)","GAHT - Difference between river and gauge height (cm)","MDPR - Multiday precipitation total (tenths of mm; use with DAPR and DWPR, if available)","PGTM - Peak gust time (hours and minutes, i.e., HHMM)","PRCP - Precipitation (tenths of mm)","SNOW - Snowfall (mm)","SNWD - Snow depth (mm)","THIC - Thickness of ice on water (tenths of mm)","TMAX - Maximum temperature (tenths of degrees C)","TMIN - Minimum temperature (tenths of degrees C)","TOBS - Temperature at the time of observation (tenths of degrees C)","WDFG - Direction of peak wind gust (degrees)","WESD - Water equivalent of snow on the ground (tenths of mm)","WESF - Water equivalent of snowfall (tenths of mm)","WSFG - Peak guest wind speed (tenths of meters per second)","WT01 - Fog, ice fog, or freezing fog (may include heavy fog)","WT03 - Thunder","WT04 - Ice pellets, sleet, snow pellets, or small hail","WT05 - Hail (may include small hail)","WT06 - Glaze or rime","WT07 - Dust, volcanic ash, blowing dust, blowing sand, or blowing obstruction","WT08 - Smoke or haze","WT09 - Blowing or drifting snow","WT11 - High or damaging winds","WT14 - Drizzle","WT16 - Rain (may include freezing rain, drizzle, and freezing drizzle)","WT18 - Snow, snow pellets, snow grains, or ice crystals","COOP id","Display Name","Lat","Long","FIPS (CNTY)","FIPS (ST)","ZIP","ZIP Display Name","00:00 - HPCP (Precipitation (100th of an inch))","01:00 - HPCP","02:00 - HPCP","03:00 - HPCP","04:00 - HPCP","05:00 - HPCP","06:00 - HPCP","07:00 - HPCP","08:00 - HPCP","09:00 - HPCP","10:00 - HPCP","11:00 - HPCP","12:00 - HPCP","13:00 - HPCP","14:00 - HPCP","15:00 - HPCP","16:00 - HPCP","17:00 - HPCP","18:00 - HPCP","19:00 - HPCP","20:00 - HPCP","21:00 - HPCP","22:00 - HPCP","23:00 - HPCP"
"2000","1","7853","1999","12","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","2","70503","1999","12","15","GHCND:USC00165021","LAFAYETTE, LA US","30.2191","-92.065","22055","22","70506","Lafayette, LA 70506","","","","","","","","0","0","0","","139","17","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","3","38118","1999","12","26","GHCND:USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","35.0564","-89.9865","47157","47","38118","Memphis, TN 38118","37","","","","","","1158","0","","","","133","-6","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","4","32548","1999","12","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","5","7863","1999","12","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","6","10705","1999","12","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","7","80931","1999","12","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","8","3878","1999","12","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","9","17222","1999","12","16","GHCND:USC00368308","SOUTH MOUNTAIN, PA US","39.8582","-77.4774","42055","42","17222","Fayetteville, PA 17222","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","10","7831","1999","12","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","11","60466","1999","12","26","GHCND:USC00116616","PARK FOREST, IL US","41.4947","-87.6802","17031","17","60466","Park Forest, IL 60466","","","","","","","","0","0","51","","0","-133","-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","12","70578","1999","12","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","13","85925","2000","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","14","95351","1999","12","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","15","6716","1999","12","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","16","8014","1999","12","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","17","10701","1999","12","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","18","38117","1999","12","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","19","97302","1999","12","15","GHCND:USW00024232","SALEM MCNARY FIELD, OR US","44.905","-123.0011","41047","41","97302","Salem, OR 97302","93","","","","","","1337","53","","","","117","78","","","0","","","1","","","","","","","","","","1","","COOP:357500","SALEM MCNARY FIELD, OR US","44.905","-123.0011","41047","41","97302","Salem, OR 97302","3","2","1","0","0","0","0","","0","0","","","","","","","","1","8","0","4","0","","1"
"2000","20","43201","1999","12","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","21","","1999","12","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","22","55420","1999","12","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","23","33069","1999","12","14","GHCND:USC00087254","POMPANO BEACH, FL US","26.23333","-80.14056","12011","12","33069","Pompano Beach, FL 33069","","","","","","","","3","0","0","","272","194","228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","24","36091","1999","12","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","25","71602","1999","12","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
