"USAF","WBAN","STATION NAME","CTRY","FIPS","STATE","CALL","LAT","LON","ELEV(.1M)","BEGIN","END"
"006852","99999","SENT","SW","SZ","","","+46817","+010350","+14200","",""
"007005","99999","CWOS 07005","","","","","-99999","-999999","-99999","20120127","20120127"
"007010","99999","CWOS 07010","","","","","-99999","-999999","-99999","",""
"007011","99999","CWOS 07011","","","","","-99999","-999999","-99999","20111025","20121129"
"007012","99999","CWOS 07012","","","","","-99999","-999999","-99999","",""
"007015","99999","CWOS 07015","","","","","-99999","-999999","-99999","",""
"007016","99999","CWOS 07016","","","","","-99999","-999999","-99999","",""
"007018","99999","WXPOD 7018","","","","7018","+00000","+000000","+70180","20110309","20110705"
"007019","99999","CWOS 07019","","","","","-99999","-999999","-99999","",""
"007023","99999","CWOS 07023","","","","","-99999","-999999","-99999","",""
"007024","99999","CWOS 07024","","","","","-99999","-999999","-99999","",""
"007025","99999","CWOS 07025","","","","","-99999","-999999","-99999","20120127","20120127"
"007026","99999","WXPOD 7026","AH","AF","","7026","+00000","+000000","+70260","20120713","20121217"
"007027","99999","CWOS 07027","","","","","-99999","-999999","-99999","",""
"007031","99999","CWOS 07031","","","","","-99999","-999999","-99999","",""
"007032","99999","CWOS 07032","","","","","-99999","-999999","-99999","20130125","20130226"
"007033","99999","CWOS 07033","","","","","-99999","-999999","-99999","",""
"007034","99999","CWOS 07034","","","","","-99999","-999999","-99999","20121024","20121106"
"007037","99999","CWOS 07037","","","","","-99999","-999999","-99999","20111202","20121125"
"007038","99999","CWOS 07038","","","","","-99999","-999999","-99999","",""
"007041","99999","CWOS 07041","","","","","-99999","-999999","-99999","",""
"007042","99999","CWOS 07042","","","","","-99999","-999999","-99999","",""
"007043","99999","CWOS 07043","","","","","-99999","-999999","-99999","",""
"007044","99999","CWOS 07044","","","","","-99999","-999999","-99999","20120127","20120127"
"007047","99999","CWOS 07047","","","","","-99999","-999999","-99999","20120613","20120717"
"007049","99999","CWOS 07049","","","","","-99999","-999999","-99999","",""
"007050","99999","CWOS 07050","","","","","-99999","-999999","-99999","",""
"007051","99999","CWOS 07051","","","","","-99999","-999999","-99999","",""
"007052","99999","CWOS 07052","","","","","-99999","-999999","-99999","20121129","20121130"
"007054","99999","CWOS 07054","","","","","-99999","-999999","-99999","",""
"007055","99999","CWOS 07055","","","","","-99999","-999999","-99999","",""
"007059","99999","CWOS 07059","","","","","-99999","-999999","-99999","20120314","20120828"
"007060","99999","CWOS 07060","","","","","-99999","-999999","-99999","",""
"007061","99999","CWOS 07061","","","","","-99999","-999999","-99999","",""
"007062","99999","CWOS 07062","","","","","-99999","-999999","-99999","",""
"007064","99999","CWOS 07064","","","","","-99999","-999999","-99999","20121218","20121219"
"007065","99999","CWOS 07065","","","","","-99999","-999999","-99999","",""
"007069","99999","CWOS 07069","","","","","-99999","-999999","-99999","",""
"007070","99999","WXPOD 7070","AH","AF","","7070","+00000","+000000","+70700","",""
"007072","99999","CWOS 07072","","","","","-99999","-999999","-99999","20111202","20111202"
"007076","99999","CWOS 07076","","","","","-99999","-999999","-99999","20121214","20121217"
"007077","99999","CWOS 07077","","","","","-99999","-999999","-99999","",""
"007083","99999","CWOS 07083","","","","","-99999","-999999","-99999","20120713","20120717"
"007084","99999","CWOS 07084","","","","","-99999","-999999","-99999","20121214","20121217"
"007088","99999","CWOS 07088","","","","","-99999","-999999","-99999","",""
"007089","99999","CWOS 07089","","","","","-99999","-999999","-99999","",""
"007093","99999","CWOS 07093","","","","","-99999","-999999","-99999","",""
"007094","99999","CWOS 07094","","","","","-99999","-999999","-99999","20121217","20121217"
"007095","99999","CWOS 07095","","","","","-99999","-999999","-99999","",""
"007096","99999","CWOS 07096","","","","","-99999","-999999","-99999","",""
"007098","99999","CWOS 07098","","","","","-99999","-999999","-99999","",""
"008077","99999","CWOS 08077","","","","","-99999","-999999","-99999","",""
"008078","99999","CWOS 08078","","","","","-99999","-999999","-99999","",""
"008081","99999","CWOS 08081","","","","","-99999","-999999","-99999","",""
"008083","99999","CWOS 08083","","","","","-99999","-999999","-99999","",""
"008084","99999","CWOS 08084","","","","","-99999","-999999","-99999","",""
"008086","99999","CWOS 08086","","","","","-99999","-999999","-99999","",""
"008087","99999","CWOS 08087","","","","","-99999","-999999","-99999","",""
"008089","99999","CWOS 08089","","","","","-99999","-999999","-99999","",""
"008090","99999","CWOS 08090","","","","","-99999","-999999","-99999","",""
"008091","99999","CWOS 08091","","","","","-99999","-999999","-99999","",""
"008092","99999","CWOS 08092","","","","","-99999","-999999","-99999","",""
"008094","99999","CWOS 08094","","","","","-99999","-999999","-99999","",""
"008095","99999","CWOS 08095","","","","","-99999","-999999","-99999","",""
"008096","99999","CWOS 08096","","","","","-99999","-999999","-99999","",""
"008097","99999","CWOS 08097","","","","","-99999","-999999","-99999","",""
"008098","99999","CWOS 08098","","","","","-99999","-999999","-99999","",""
"008099","99999","CWOS 10049","","","","","-99999","-999999","-99999","",""
"008100","99999","CWOS 10050","","","","","-99999","-999999","-99999","",""
"008259","99999","WPOD 8269","","","","","-99999","-999999","-99999","",""
"008260","99999","WXPOD8270","","","","","-99999","-999999","-99999","",""
"008261","99999","WXPOD","","","","","-99999","-999999","-99999","",""
"008263","99999","WPOD 8273","","","","","-99999","-999999","-99999","",""
"008264","99999","WPOD 8274","","","","","-99999","-999999","-99999","",""
"008265","99999","WPOD 8275","","","","","-99999","-999999","-99999","",""
"008266","99999","WPOD 8276","","","","","-99999","-999999","-99999","",""
"008267","99999","WPOD 8277","","","","","-99999","-999999","-99999","",""
"008268","99999","WXPOD 8278","AH","AF","","8278","+00000","+000000","+82780","20100519","20120323"
"008270","99999","WPOD 8280","","","","","-99999","-999999","-99999","",""
"008284","99999","WPOD 8294","","","","","-99999","-999999","-99999","",""
"008304","99999","WPOD 8315","AH","AF","","","+00000","+000000","+83150","",""
"008306","99999","WXPOD 8317","AH","AF","","8317","+00000","+000000","+83170","",""
"008307","99999","WXPOD 8318","AH","AF","","8318","+00000","+000000","+83180","20100421","20100421"
"008400","99999","XM06","","","","XM06","-99999","-999999","-99999","20090919","20111128"
"008401","99999","XM07","","","","XM07","-99999","-999999","-99999","20090919","20121219"
"008402","99999","XM09","","","","XM09","-99999","-999999","-99999","20090918","20110727"
"008403","99999","XM10","","","","XM10","-99999","-999999","-99999","20090918","20120415"
"008404","99999","XM11","","","","XM11","-99999","-999999","-99999","20090919","20110421"
"008405","99999","XM14","","","","XM14","-99999","-999999","-99999","20090918","20120827"
"008406","99999","XM16","","","","XM16","-99999","-999999","-99999","20090918","20111228"
"008407","99999","XM15","","","","XM15","-99999","-999999","-99999","20091016","20110213"
"008408","99999","XM08","","","","XM08","-99999","-999999","-99999","20091023","20100318"
"008409","99999","XM13","","","","XM13","-99999","-999999","-99999","20091027","20100104"
"008411","99999","XM20","","","","XM20","-99999","-999999","-99999","20100323","20130603"
"008412","99999","XM17","","","","XM17","-99999","-999999","-99999","",""
"008413","99999","XM12","","","","XM12","-99999","-999999","-99999","20100504","20130224"
"008414","99999","XM18","","","","XM18","-99999","-999999","-99999","20100506","20130603"
"008415","99999","XM21","","","","XM21","-99999","-999999","-99999","20110112","20110112"
"008416","99999","XM22","","","","XM22","-99999","-999999","-99999","20100927","20130603"
