no,uniqid,zip,year,month,day
2000,1,7853,1999,12,15
2000,2,70503,1999,12,15
2000,3,38118,1999,12,26
2000,4,32548,1999,12,17
2000,5,7863,1999,12,17
2000,6,10705,1999,12,15
2000,7,80931,1999,12,19
2000,8,3878,1999,12,17
2000,9,17222,1999,12,16
2000,10,7831,1999,12,20
2000,11,60466,1999,12,26
2000,12,70578,1999,12,19
2000,13,85925,2000,2,3
2000,14,95351,1999,12,20
2000,15,6716,1999,12,16
2000,16,8014,1999,12,14
2000,17,10701,1999,12,19
2000,18,38117,1999,12,21
2000,19,97302,1999,12,15
2000,20,43201,1999,12,14
2000,21,,1999,12,16
2000,22,55420,1999,12,14
2000,23,33069,1999,12,14
2000,24,36091,1999,12,18
2000,25,71602,1999,12,15
2000,26,91406,1999,12,16
2000,27,11590,1999,12,14
2000,28,43214,1999,12,14
2000,29,10710,2000,2,3
2000,30,33068,2000,2,2
2000,31,78666,1999,12,18
2000,32,97302,1999,12,17
2000,33,41017,1999,12,16
2000,34,8902,1999,12,18
2000,35,71461,1999,12,14
2000,36,78666,1999,12,17
2000,37,78586,1999,12,17
2000,38,92324,1999,12,16
2000,39,,1999,12,27
2000,40,33066,1999,12,16
2000,41,60067,1999,12,16
2000,42,84663,1999,12,18
2000,43,92336,1999,12,15
2000,44,20032,1999,12,14
2000,45,49507,1999,12,14
2000,46,33063,1999,12,26
2000,47,71118,1999,12,16
2000,48,78155,1999,12,21
2000,49,59840,2000,3,26
