Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommissioned,TaxReturnsFiled,EstimatedPopulation,TotalWages
99553,STANDARD,Akutan,AK,,54.143,-165.7854,Aleutians East,FALSE,,,
99571,STANDARD,Cold Bay,AK,,55.1858,-162.7211,Aleutians East,FALSE,,,
99583,STANDARD,False Pass,AK,,54.8542,-163.4113,Aleutians East,FALSE,,,
99612,STANDARD,King Cove,AK,,55.0628,-162.3056,Aleutians East,FALSE,,,
99661,STANDARD,Sand Point,AK,,55.3192,-160.4914,Aleutians East,FALSE,,,
99546,STANDARD,Adak,AK,,51.874,-176.634,Aleutians West (CA),FALSE,,,
99547,STANDARD,Atka,AK,,52.1961,-174.2006,Aleutians West (CA),FALSE,,,
99591,STANDARD,Saint George Island,AK,,56.5944,-169.6186,Aleutians West (CA),FALSE,,,
99638,STANDARD,Nikolski,AK,,52.9381,-168.8678,Aleutians West (CA),FALSE,,,
99660,STANDARD,Saint Paul Island,AK,,57.1842,-170.2764,Aleutians West (CA),FALSE,,,
99685,STANDARD,Unalaska,AK,,53.8871,-166.5199,Aleutians West (CA),FALSE,,,
99692,STANDARD,Dutch Harbor,AK,,53.8898,-166.5422,Aleutians West (CA),FALSE,,,
99501,STANDARD,Anchorage,AK,,61.2116,-149.8761,Anchorage Municipality,FALSE,,,
99502,STANDARD,Anchorage,AK,,61.1661,-149.96,Anchorage Municipality,FALSE,,,
99503,STANDARD,Anchorage,AK,,61.19,-149.8938,Anchorage Municipality,FALSE,,,
99504,STANDARD,Anchorage,AK,,61.2037,-149.7447,Anchorage Municipality,FALSE,,,
99505,STANDARD,Jber,AK,,59.8666,-158.5996,Anchorage Municipality,FALSE,,,
99506,STANDARD,Jber,AK,,59.8666,-158.5996,Anchorage Municipality,FALSE,,,
99507,STANDARD,Anchorage,AK,,61.1535,-149.8289,Anchorage Municipality,FALSE,,,
99508,STANDARD,Anchorage,AK,,61.206,-149.8101,Anchorage Municipality,FALSE,,,
99509,STANDARD,Anchorage,AK,,61.2181,-149.9003,Anchorage Municipality,FALSE,,,
99510,STANDARD,Anchorage,AK,,61.1446,-149.8784,Anchorage Municipality,FALSE,,,
99511,STANDARD,Anchorage,AK,,61.0683,-149.8005,Anchorage Municipality,FALSE,,,
99513,STANDARD,Anchorage,AK,,61.2149,-149.8862,Anchorage Municipality,FALSE,,,
99514,STANDARD,Anchorage,AK,,61.2181,-149.9003,Anchorage Municipality,FALSE,,,
99515,STANDARD,Anchorage,AK,,61.1194,-149.8974,Anchorage Municipality,FALSE,,,
99516,STANDARD,Anchorage,AK,,61.1054,-149.78,Anchorage Municipality,FALSE,,,
99517,STANDARD,Anchorage,AK,,61.1901,-149.9361,Anchorage Municipality,FALSE,,,
99518,STANDARD,Anchorage,AK,,61.1549,-149.8866,Anchorage Municipality,FALSE,,,
99519,STANDARD,Anchorage,AK,,61.1089,-149.4403,Anchorage Municipality,FALSE,,,
99520,STANDARD,Anchorage,AK,,61.2181,-149.9003,Anchorage Municipality,FALSE,,,
99521,STANDARD,Anchorage,AK,,61.2181,-149.9003,Anchorage Municipality,FALSE,,,
99522,STANDARD,Anchorage,AK,,61.2181,-149.9003,Anchorage Municipality,FALSE,,,
99523,STANDARD,Anchorage,AK,,61.2181,-149.9003,Anchorage Municipality,FALSE,,,
99524,STANDARD,Anchorage,AK,,61.2181,-149.9003,Anchorage Municipality,FALSE,,,
99529,STANDARD,Anchorage,AK,,61.1515,-149.9443,Anchorage Municipality,FALSE,,,
99530,STANDARD,Anchorage,AK,,61.1515,-149.9443,Anchorage Municipality,FALSE,,,
99540,STANDARD,Indian,AK,,61.1089,-149.4403,Anchorage Municipality,FALSE,,,
